Title,Title_link,unit_info___32SjE,Price,Headline,Field1,Field2,Field3
Mission Flour Burrito Tortillas 20 oz,https://www.sayweee.com/en/product/Mission-Flour-Burrito-Tortillas/73214,$0.19/oz,$3.99,Mission Flour Burrito Tortillas,(6),United States,MISSION
Guerrero Flour Tortillas Riquisimas 14.5 oz,https://www.sayweee.com/en/product/Guerrero-Flour-Tortillas-Riquisimas/73257,$0.27/oz,$3.99,Guerrero Flour Tortillas Riquisimas,,United States,GUERRERO
Mission Garden Spinach Herb Wraps 15 oz,https://www.sayweee.com/en/product/Mission-Garden-Spinach-Herb-Wraps/73260,$0.31/oz,$4.69,Mission Garden Spinach Herb Wraps,(5),United States,MISSION
Masienda Chef-Grade Masa Flour White  2.2 lb,https://www.sayweee.com/en/product/Masienda-Chef-Grade-Masa-Flour-White-/17281,$3.63/lb,$8.00,Masienda Chef-Grade Masa Flour White,,United States,MASIENDA
Masienda Chef-Grade Masa Harina Blue  2.2 lb,https://www.sayweee.com/en/product/Masienda-Chef-Grade-Masa-Harina-Blue-/17282,$4.54/lb,$10.00,Masienda Chef-Grade Masa Harina Blue,,United States,MASIENDA
Mission Soft Taco Flour Tortillas 17.5 oz,https://www.sayweee.com/en/product/Mission-Soft-Taco-Flour-Tortillas/73255,$0.18/oz,$3.29,Mission Soft Taco Flour Tortillas,(3),United States,MISSION
Calidad White Corn Tortilla Chips 12 oz,https://www.sayweee.com/en/product/Calidad-White-Corn-Tortilla-Chips/73261,$0.19/oz,$2.29,Calidad White Corn Tortilla Chips,(1),United States,
Siete Grain Free Taco Shells 5.5 oz,https://www.sayweee.com/en/product/Siete-Grain-Free-Taco-Shells/80480,$1.19/oz,$6.59,Siete Grain Free Taco Shells,,United States,SIETE
"Guerrero 5.5"" Baked Corn Tostadas Sea Salt 9.7 oz",https://www.sayweee.com/en/product/Guerrero-5-5--Baked-Corn-Tostadas-Sea-Salt/83782,$0.29/oz,$2.89,"Guerrero 5.5"" Baked Corn Tostadas Sea Salt",(1),United States,
Guerrero Classic Yellow Tostadas 12.8 oz,https://www.sayweee.com/en/product/Guerrero-Classic-Yellow-Tostadas/83788,$0.22/oz,$2.89,Guerrero Classic Yellow Tostadas,,United States,
Masienda Masa Starter Kit  16.4 lb,https://www.sayweee.com/en/product/Masienda-Masa-Starter-Kit-/17283,$5.97/lb,$98.00,Masienda Masa Starter Kit,,United States,MASIENDA
Mission White Corn Tortillas 25 oz,https://www.sayweee.com/en/product/Mission-White-Corn-Tortillas/73253,$0.12/oz,$3.19,Mission White Corn Tortillas,(1),United States,MISSION
Mission Sweet Hawaiian Street Tacos Tortillas 8.54 oz,https://www.sayweee.com/en/product/Mission-Sweet-Hawaiian-Street-Tacos-Tortillas/73256,$0.26/oz,$2.29,Mission Sweet Hawaiian Street Tacos Tortillas,(5),United States,MISSION
Mission Flour Soft Taco Carb Balance 12 oz,https://www.sayweee.com/en/product/Mission-Flour-Soft-Taco-Carb-Balance/73258,$0.46/oz,$5.59,Mission Flour Soft Taco Carb Balance,(1),United States,MISSION
Maizada Corn Tostadas Raspadas 7.16 oz,https://www.sayweee.com/en/product/Maizada-Corn-Tostadas-Raspadas/83205,$0.31/oz,$2.29,Maizada Corn Tostadas Raspadas,,Mexico,
Guerrero Tajin Yellow Tostadas 7.05 oz,https://www.sayweee.com/en/product/Guerrero-Tajin-Yellow-Tostadas/83783,$0.40/oz,$2.89,Guerrero Tajin Yellow Tostadas,,United States,
