Title,Title_link,brand-title,comment-star__count,Price,brand-variants,price-valid,price-invalid,price-discount,Field1,Field2,Field3
Potato Chips TW Popcorn Chicken Flavor 100g,https://www.yamibuy.com/en/p/potato-chips-tw-popcorn-chicken-flavor-100g/1017045501?scene=item_search.result&bu_type=search&module_name=input&index=1&content=popcorn,HUAYUAN,,$3.99,,,,,Be the first!,Taiwan,
Stevia Sweetened Chocolate Covered Poprorn Dark Chocolate Caramel Popcorn,https://www.yamibuy.com/en/p/stevia-sweetened-chocolate-covered-poprorn-dark-chocolate-caramel-popcorn/1017041211?scene=item_search.result&bu_type=search&module_name=input&index=2&content=popcorn,LILYS,1,$7.99,,,,,1,United States,5
Popcorn Chips White Cheddar 198g,https://www.yamibuy.com/en/p/popcorn-chips-white-cheddar-198g/1017041371?scene=item_search.result&bu_type=search&module_name=input&index=3&content=popcorn,POPCORNERS,1,$4.29,2 Options,,,,1,United States,5
Popcorn Chips Kettle 198g,https://www.yamibuy.com/en/p/popcorn-chips-kettle-198g/1017041381?scene=item_search.result&bu_type=search&module_name=input&index=4&content=popcorn,POPCORNERS,2,$4.69,2 Options,,,,2,United States,5
JAPAN DIY JYAZU  Butter Popcorn 67g,https://www.yamibuy.com/en/p/japan-diy-jyazu-butter-popcorn-67g/3017037761?scene=item_search.result&bu_type=search&module_name=input&index=5&content=popcorn,MARUJYO,1,,19 Options,$5.90,$9.99,41% OFF,1,Japan,5
[Popcorn Chicken Nuggets] 350g,https://www.yamibuy.com/en/p/popcorn-chicken-nuggets-350g/3019074691?scene=item_search.result&bu_type=search&module_name=input&index=6&content=popcorn,CHUN WEI KITCHEN,,,,$11.04,$12.99,16% OFF,Be the first!,United States,
JAPAN DIY JYAZU  SYOYU Popcorn 67g,https://www.yamibuy.com/en/p/japan-diy-jyazu-syoyu-popcorn-67g/3017037771?scene=item_search.result&bu_type=search&module_name=input&index=7&content=popcorn,MARUJYO,,,19 Options,$5.90,$9.90,41% OFF,Be the first!,Japan,
JAPAN HANABATAKEBOKUJO Cheese Popcorn 100g,https://www.yamibuy.com/en/p/japan-hokkaido-hanabatakebokujo-cheese-popcorn-100g/3017036011?scene=item_search.result&bu_type=search&module_name=input&index=8&content=popcorn,HOKKAIDO,1,,19 Options,$10.90,$17.99,40% OFF,1,Japan,5
JAPAN HANABATAKEBOKUJO CARAMEL Popcorn 100g,https://www.yamibuy.com/en/p/japan-hokkaido-hanabatakebokujo-caramel-popcorn-100g/3017034511?scene=item_search.result&bu_type=search&module_name=input&index=9&content=popcorn,HOKKAIDO,,,19 Options,$10.90,$17.99,40% OFF,Be the first!,Japan,
MICKEY MOUSE AND CARAMEL Popcorn 5bags,https://www.yamibuy.com/en/p/mickey-mouse-and-caramel-popcorn-5bags/3016090611?scene=item_search.result&bu_type=search&module_name=input&index=10&content=popcorn,TOKYO BANANA,,,35 Options,$16.99,$24.90,32% OFF,Be the first!,Japan,
[China direct mail] BE&CHEERY Herb flavor - gold corn beans / vegetarian corn snacks snack popcorn puffed food snacks70g,https://www.yamibuy.com/en/p/china-direct-mail-be-cheery-herb-flavor-gold-corn-beans-vegetarian-corn-snacks-snack-popcorn-puffed-food-snacks70g/3017026281?scene=item_search.result&bu_type=search&module_name=input&index=11&content=popcorn,BE & CHEERY,1,,,$2.90,$7.90,64% OFF,1,China,5
Popcorn Chicken Seasoning 175g,https://www.yamibuy.com/en/p/popcorn-chicken-seasoning-175g/1146171851?scene=item_search.result&bu_type=search&module_name=input&index=12&content=popcorn,LONGDING,,$8.99,,,,,Be the first!,Taiwan,
Popcorn 68g,https://www.yamibuy.com/en/p/egg-corn-68g/1017036621?scene=item_search.result&bu_type=search&module_name=input&index=13&content=popcorn,BESTORE,29,$1.19,,,,,29,China,4.9
Popcorn Cinema artificially hot chicken flavored 35g,https://www.yamibuy.com/en/p/shirakiku-popcorn-cinema-hot-spicy-sk-35g/1017029381?scene=item_search.result&bu_type=search&module_name=input&index=14&content=popcorn,SHIRAKIKU,9,$2.19,3 Options,,,,9,Japan,4.7
Honey Popcorn Snack 255g,https://www.yamibuy.com/en/p/honey-popcorn-snack-255g/1017036981?scene=item_search.result&bu_type=search&module_name=input&index=15&content=popcorn,JAYONE,2,$3.29,,,,,2,Korea,5
Spicy Popcorn Snack 110g,https://www.yamibuy.com/en/p/jayone-spicy-popcorn-snack-110g/1017032601?scene=item_search.result&bu_type=search&module_name=input&index=16&content=popcorn,JAYONE,9,$1.69,3 Options,,,,9,Korea,4.6
Popcorn Cinema Artificially Strawberry&Butter Flavored 70g,https://www.yamibuy.com/en/p/shirakiku-popcorn-cinema-strawberry-butter-69g/1017029391?scene=item_search.result&bu_type=search&module_name=input&index=17&content=popcorn,SHIRAKIKU,9,$2.19,3 Options,,,,9,Japan,4.9
Cheese Popcorn Snack 255g,https://www.yamibuy.com/en/p/cheese-popcorn-snack-255g/1017036991?scene=item_search.result&bu_type=search&module_name=input&index=18&content=popcorn,JAYONE,5,$3.29,,,,,5,Korea,5
Buddha Bowl Popcorn Himalayan Sweet At least 95% Organic 198g,https://www.yamibuy.com/en/p/buddha-bowl-popcorn-himalayan-sweet-at-least-95-organic-198g/1017041061?scene=item_search.result&bu_type=search&module_name=input&index=19&content=popcorn,Lesser Evil,2,$4.59,,,,,2,United States,5
Cheese Popcorn Snack 110g,https://www.yamibuy.com/en/p/jayone-cheese-popcorn-snack-110g/1017032591?scene=item_search.result&bu_type=search&module_name=input&index=20&content=popcorn,JAYONE,6,$1.59,3 Options,,,,6,Korea,4.2
"Black Sugar Popcorn, 200g",https://www.yamibuy.com/en/p/black-sugar-popcorn-200g/1017036901?scene=item_search.result&bu_type=search&module_name=input&index=21&content=popcorn,TIGER SUGAR,39,$6.99,,,,,39,Taiwan,4.8
Cream Flavor Popcorn 150g,https://www.yamibuy.com/en/p/cream-flavor-popcorn-150g/1017040031?scene=item_search.result&bu_type=search&module_name=input&index=22&content=popcorn,mage's,2,,2 Options,$3.59,$5.99,41% OFF,2,China,4.5
Popcorn Cinema Caramel&Butter 43g,https://www.yamibuy.com/en/p/popcorn-cinema-caramel-butter-42g/1017029371?scene=item_search.result&bu_type=search&module_name=input&index=23&content=popcorn,SHIRAKIKU,27,$2.19,3 Options,,,,27,Japan,4.4
Taiwanese Popcorn Chicken Cookie,https://www.yamibuy.com/en/p/taiwanese-popcorn-chicken-cookie/1017031821?scene=item_search.result&bu_type=search&module_name=input&index=24&content=popcorn,TAIWAN NICE,,,,$22.99,$24.99,9% OFF,Be the first!,Taiwan,
Popcorn Caramel Flavor 118g,https://www.yamibuy.com/en/p/bestore-popcorn-caramel-flavor-118g/1017028911?scene=item_search.result&bu_type=search&module_name=input&index=25&content=popcorn,BESTORE,2,$2.59,,,,,2,China,4.5
Caramel Flavor Popcorn 150g,https://www.yamibuy.com/en/p/caramel-flavor-popcorn-150g/1017040041?scene=item_search.result&bu_type=search&module_name=input&index=26&content=popcorn,mage's,7,,2 Options,$3.59,$5.99,41% OFF,7,China,4.4
Honey Popcorn Snack 110g,https://www.yamibuy.com/en/p/jayone-honey-popcorn-snack-110g/1017032581?scene=item_search.result&bu_type=search&module_name=input&index=27&content=popcorn,JAYONE,9,$1.59,3 Options,,,,9,Korea,4.8
Roasted Pop Adlay Sea Salt Caramel Flavor 150g,https://www.yamibuy.com/en/p/roasted-pop-adlay-sea-salt-caremel-flavor-150g/1017033681?scene=item_search.result&bu_type=search&module_name=input&index=28&content=popcorn,Color Fruit,3,$13.49,,,,,3,Taiwan,4.7
,,,,,,,,,,,
